Date : 2026-04-27 14:00:42
Directory : /home/dharon/watum
Total : 718 files,  115427 codes, 10237 comments, 20628 blanks, all 146292 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src/lib/server                                                                                                                  |        206 |      7,657 |        138 |        914 |      8,709 |
| src/lib/server (Files)                                                                                                          |          7 |      1,468 |         22 |        202 |      1,692 |
| src/lib/server/migrations                                                                                                       |         23 |        771 |         80 |        190 |      1,041 |
| src/lib/server/sql                                                                                                              |        176 |      5,418 |         36 |        522 |      5,976 |
| src/lib/server/sql (Files)                                                                                                      |         86 |      3,578 |         36 |        332 |      3,946 |
| src/lib/server/sql/crud                                                                                                         |         90 |      1,840 |          0 |        190 |      2,030 |
| src/lib/server/sql/crud/class_rooms                                                                                             |          9 |        190 |          0 |         19 |        209 |
| src/lib/server/sql/crud/courses                                                                                                 |          9 |        178 |          0 |         19 |        197 |
| src/lib/server/sql/crud/enrollments                                                                                             |          9 |        202 |          0 |         19 |        221 |
| src/lib/server/sql/crud/faculties                                                                                               |          9 |        142 |          0 |         19 |        161 |
| src/lib/server/sql/crud/grades                                                                                                  |          9 |        202 |          0 |         19 |        221 |
| src/lib/server/sql/crud/lecturers                                                                                               |          9 |        178 |          0 |         19 |        197 |
| src/lib/server/sql/crud/schedules                                                                                               |          9 |        190 |          0 |         19 |        209 |
| src/lib/server/sql/crud/students                                                                                                |          9 |        202 |          0 |         19 |        221 |
